Gene	Abundance	Presence
AAB38709	4100	266
ABM54175	1846	254
AAC25057	1349	234
SEF68642	1249	255
KIO48008	1015	189
ADE13856	1007	114
BAA92239	505	155
AAL86637	413	134
ADZ75349	263	126
ABB69924	235	22
ADZ75355	148	48
ABN13102	135	70
ABN13016	115	56
AAC25091	87	32
CAD62077	84	49
ABM91864	69	36
AFL48315	64	32
ABN13004	56	22
AAG60667	55	39
CAD62114	53	28
ABV49197	53	7
AFL48409	29	16
BAD15293	28	23
ABN12983	28	15
ACY38031	26	22
ABV90498	22	20
ADZ75352	18	11
AGC92896	14	11
CAD62411	11	10
BAD14894	10	9
ABN11248	6	4
CAD62415	2	2